Timestamp,EEG Signal
8.822,489.33
8.84,466
8.856,317.33
8.872,658
8.889,574.67
8.908,574.33
8.925,573.67
8.939,340.33
8.956,680.67
8.974,535.33
8.99,535
9.006,534.67
9.025,340.33
9.039,680.67
9.056,340.67
9.072,340.33
9.09,340.33
9.105,340.67
9.125,681
9.139,340.67
9.156,340.33
9.174,340.67
9.19,341.33
9.207,681.67
9.222,682
9.24,681.33
9.255,681.67
9.275,680.33
9.291,1020.67
9.307,1020.33
9.323,1021.33
9.341,1022
9.355,1021.67
9.373,1021.33
9.39,1021.33
9.406,1021.67
9.423,1022
9.439,1021.33
9.457,1021.67
9.473,1021.67
9.489,1022
9.507,1021.67
9.524,1021.67
9.539,1021.33
9.557,1021.67
9.573,1021.67
9.589,1021.67
9.606,1021.33
9.622,1021
9.639,1021
9.656,1021.33
9.673,1021.67
9.69,1022
9.706,1022.33
9.723,1022.33
9.74,1022
9.757,1021.67
9.774,1021.33
9.79,1021.67
9.806,1021.67
9.823,1021.67
9.84,1021.67
9.856,1021.33
9.872,1021.67
9.889,1021.33
9.907,1021.67
9.922,1021.67
9.939,1022
9.957,1021.67
9.973,1021.33
9.99,1021.33
10.007,1021.67
10.023,1022
10.04,1022
10.056,1022
10.073,1022
10.09,1022
10.105,1021.67
10.122,1021.67
10.139,1021.33
10.156,1021.67
10.173,1022
10.189,1022.33
10.207,1022.33
10.223,1021.67
10.24,1021.67
10.256,1021.33
10.272,1022
10.289,1021.67
10.307,1021.67
10.323,1021.33
10.339,1021.67
10.356,1021.67
10.373,1022
10.391,1022
10.405,1022.33
10.423,1022
10.439,1022
10.456,1022
10.472,1021.67
10.489,1021.33
10.507,1021.67
10.523,1022.33
10.539,1023
10.555,1022.67
10.573,1022.33
10.589,1022
10.606,1022.33
10.623,1022
10.64,1022.33
10.656,1022
10.673,1022.67
10.69,1022.33
10.706,1022.33
10.723,1022.33
10.739,1022.33
10.757,1022.67
10.773,1022.33
10.79,1022
10.806,1021.67
10.824,1021.67
10.84,1022
10.857,1022
10.873,1022
10.889,1022
10.907,1022
10.922,1022
10.94,1022
10.956,1021.67
10.974,1022
10.989,1022
11.006,1022.33
11.023,1022
11.039,1022
11.056,1021.67
11.073,1021.67
11.09,1021.67
11.106,1022
11.124,1022
11.14,1022
11.156,1022
11.173,1022.33
11.19,1022.67
11.207,1022.67
11.223,1022.33
11.241,1022.33
11.256,1022.33
11.273,1022.33
11.289,1022
11.307,1022.33
11.322,1022.33
11.34,1022
11.357,1021.67
11.374,1022
11.389,1022.67
11.406,1022.67
11.423,1022.33
11.44,1022
11.457,1022.33
11.474,1022.67
11.49,1022.33
11.507,1022
11.524,1021.67
11.541,1022
11.558,1022
11.574,1021.67
11.59,1022
11.607,1022
11.624,1022.33
11.641,1022
11.657,1022.33
11.674,1022
11.691,1022
11.707,1021.67
11.724,1022
11.741,1022
11.757,1022.33
11.774,1022.33
11.791,1022.33
11.807,1022.33
11.824,1022.67
11.841,1022.67
11.857,1022.33
11.873,1022
11.89,1022
11.907,1022.33
11.924,1022.33
11.94,1022.67
11.957,1022.67
11.974,1023
11.991,1022.33
12.007,1022
12.024,1022
12.041,1022.33
12.057,1022.67
12.074,1022.67
12.091,1022.33
12.107,1022
12.124,1021.67
12.141,1022
12.156,1022
12.173,1022
12.19,1021.67
12.207,1021.67
12.223,1021.67
12.24,1022
12.256,1022.33
12.274,1022
12.291,1022
12.307,1022
12.324,1022.33
12.341,1022.33
12.357,1022
12.373,1022.33
12.39,1022.33
12.407,1022.33
12.423,1022
12.44,1022
12.457,1022
12.473,1022
12.49,1022
12.507,1022.33
12.524,1022.67
12.541,1022.67
12.557,1022.67
12.574,1022.33
12.59,1022.33
12.608,1022
12.624,1022
12.641,1022.33
12.657,1022.33
12.675,1022.67
12.691,1022.67
12.707,1023
12.724,1023
12.741,1022.67
12.756,1022.33
12.774,1022.33
12.79,1022.33
12.807,1022.33
12.824,1022
12.841,1022
12.858,1022.33
12.874,1022.33
12.891,1022.67
12.907,1022.67
12.923,1022.67
12.94,1022.33
12.957,1022
12.974,1022
12.991,1022.33
13.007,1022.33
13.024,1022.33
13.041,1022.33
13.056,1022.33
13.074,1022.33
13.091,1021.67
13.108,1022
13.123,1022.33
13.141,1022.67
13.157,1022.33
13.173,1022
13.19,1022
13.208,1022
13.224,1022
13.241,1022
13.257,1022
13.274,1021.67
13.291,1021.33
13.307,1021.33
13.324,1022
13.341,1022.67
13.357,1022.67
13.375,1022.67
13.39,1022.67
13.407,1022.67
13.424,1022.33
13.441,1022
13.457,1022.33
13.476,1022.67
13.491,1023
13.507,1022.67
13.524,1022.67
13.54,1022.67
13.557,1022.67
13.574,1022.33
13.591,1022.33
13.608,1022.67
13.623,1023
13.641,1023
13.657,1023
13.674,1022.67
13.691,1022.33
13.707,1022.33
13.724,1022
13.74,1022
13.758,1021.67
